CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason
2564,1,0,0,562,90003,327,33.964131,-118.272783,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,156,1,1,86,3239,3
6511,1,0,0,562,90005,405,34.059281,-118.30742,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,924,1,1,67,2701,13
6551,1,0,0,562,90006,393,34.048013,-118.293953,0,0,0,1,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,6103,1,1,86,5372,13
5604,1,0,0,562,90010,410,34.062125,-118.315709,0,0,1,1,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,2645,1,1,84,5003,13
174,1,0,0,562,90015,385,34.039224,-118.266293,1,0,0,1,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,4264,1,1,89,5340,2
2937,1,0,0,562,90020,416,34.066367,-118.309868,0,0,1,0,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,4415,1,1,78,5925,4
6207,1,0,0,562,90022,367,34.02381,-118.156582,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,3339,1,1,100,5433,5
723,1,0,0,562,90024,415,34.066303,-118.435479,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,1608,1,1,92,4832,3
4584,1,0,0,562,90028,447,34.099869,-118.326843,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4018,1,1,77,5789,2
6119,1,0,0,562,90029,440,34.089953,-118.294824,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,2591,1,1,97,2915,2
6199,1,0,0,562,90032,428,34.078821,-118.177576,0,0,0,0,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,183,1,1,74,3022,4
4292,1,0,0,562,90039,462,34.110845,-118.259595,1,0,0,1,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,2741,1,1,66,2454,4
3828,1,0,0,562,90041,483,34.137412,-118.207607,1,0,0,1,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3073,1,1,65,2941,4
5803,1,0,0,562,90042,465,34.11572,-118.192754,0,0,0,1,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,201,1,1,70,5674,5
5510,1,0,0,562,90056,340,33.987945,-118.370442,0,0,0,1,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,808,1,1,90,5586,5
6630,1,0,0,562,90061,296,33.92128,-118.274186,0,0,0,1,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,788,1,1,82,2966,5
5305,1,0,0,562,90063,388,34.044271,-118.185237,0,1,1,1,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,5112,1,1,69,5302,3
1129,1,0,0,562,90065,458,34.108833,-118.229715,1,1,0,1,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1273,1,1,81,3179,3
4043,1,0,0,77,90211,411,34.063947,-118.383001,0,0,0,1,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,6233,1,1,96,5571,18
4191,1,0,0,442,90255,338,33.97803,-118.217141,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,5965,1,1,87,2483,19
6488,1,0,0,575,90262,299,33.923573,-118.200669,0,0,1,1,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,4198,1,1,70,3457,20
6099,1,0,0,592,90292,337,33.977468,-118.445475,0,0,0,1,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,6383,1,1,86,5806,10
173,1,0,0,453,90301,323,33.956445,-118.358634,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,251,1,1,66,2604,15
3208,1,0,0,453,90303,308,33.936291,-118.332639,0,1,1,1,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2174,1,1,88,5337,11
2233,1,0,0,906,90403,378,34.031529,-118.491156,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,5832,1,1,86,5034,9
327,1,0,0,1019,90504,259,33.867257,-118.330794,1,0,1,1,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,4390,1,1,75,5154,12
3419,1,0,0,1094,90602,330,33.972119,-118.020188,0,1,1,1,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2474,1,1,67,2793,8
3763,1,0,0,1094,90606,335,33.976678,-118.065875,0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,123,1,1,87,5998,18
274,1,0,0,493,90631,311,33.940619,-117.9513,1,0,0,1,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,1930,1,1,76,4415,19
3079,1,0,0,766,90660,343,33.989524,-118.089299,0,1,0,1,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,1754,1,1,95,4638,20
4403,1,0,0,49,90704,109,33.391181,-118.421305,0,0,1,0,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,911,1,1,99,4190,10
2158,1,0,0,408,90710,218,33.798266,-118.300237,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,3031,1,1,80,2301,15
1632,1,0,0,518,90712,247,33.840524,-118.148403,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,6057,1,1,76,2570,7
262,1,0,0,559,90720,215,33.79499,-118.065591,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,5509,1,1,76,3964,7
2863,1,0,0,891,90731,176,33.736387,-118.284363,0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,4663,1,1,66,2662,7
1446,1,0,0,165,90745,230,33.822295,-118.26411,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,3820,1,1,73,2600,16
2724,1,0,0,556,90804,206,33.783047,-118.1486,1,0,0,1,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,5235,1,1,94,2786,17
589,1,0,0,18,91001,536,34.196837,-118.142236,0,0,1,1,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1046,1,1,86,5719,18
2359,1,0,0,635,91016,498,34.1528,-118.000482,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,2372,1,1,75,4287,19
2406,1,0,0,936,91024,514,34.168686,-118.057505,1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2299,1,1,100,5444,20
1269,1,0,0,1029,91042,582,34.296574,-118.244839,0,0,1,1,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,2065,1,1,83,4690,10
475,1,0,0,748,91103,511,34.167465,-118.165327,0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,4238,1,1,80,4328,15
1818,1,0,0,748,91106,486,34.139402,-118.128658,0,1,0,1,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,276,1,1,99,5717,11
1398,1,0,0,748,91107,505,34.159007,-118.087353,0,1,0,1,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,4259,1,1,81,4419,9
4476,1,0,0,371,91202,513,34.167926,-118.267539,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,2506,1,1,95,4534,12
6592,1,0,0,371,91204,478,34.136306,-118.26036,1,0,0,1,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,5277,1,1,86,2152,8
1288,1,0,0,371,91206,507,34.162515,-118.203869,0,0,0,1,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,215,1,1,73,5142,18
